"name","type","tier","tier_name","Private_or_public","state","Female","Parents mean","Parentsq1","Parentsq5","Parentstop1pc","Kidsmean","Kidsq5","Kidstop1pc"
"Grossmont-Cuyamaca Community College District","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5096329599288827","95826.83270956732","0.1139704175774773","0.2639236188537222","0.0071716346222034","37289.85192818188","0.2382747907485986","0.0046874441754584"
"Hartnell Community College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4942937057620535","65456.23266906738","0.197841441413832","0.1416829203184903","0.0015246616858349","34724.02799479166","0.1924922359114094","0.0037501817819853"
"Harvey Mudd College","2","2","Other elite schools (public and private)","Private","CA","0.3317563673102759","207971.9583333334","0.0393175331835419","0.6122841896973887","0.0538907095759622","109616.2766450712","0.6796087739036878","0.111066598140415"
"Heald College","3","11","Two-year for-profit","NA","CA","0.4946527607774768","64024.20347353294","0.1968642596512955","0.1281685610351389","0.0014193368266901","35981.13637826013","0.2066533473615736","0.0021933708468794"
"Humboldt State University","1","5","Selective public","Public","CA","0.5798186084533709","126254.519948388","0.0882560425830792","0.4110088765717888","0.0151939472866274","38719.98498126414","0.2623293272212259","0.0056032472321546"
"Imperial Valley College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5430294296819552","48809.86005274981","0.3588432809830818","0.0727442879054779","0.0013814997603597","31419.64231422892","0.1823112135379117","0.0008413182597262"
"International Career Development Center","3","11","Two-year for-profit","NA","CA","0.775912364343776","36129.47426399028","0.4606968377019564","0.0275535173360139","0.0005052210365577","18241.47702884114","0.0311585609130795","0.0032176218079475"
"Irvine Valley College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4788762010406045","120056.0568860294","0.1197266754812148","0.3391005231627363","0.0141191228183315","36744.72465808824","0.2474628110808648","0.0061313539065398"
"Kern & North Orange County Community College Districts","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5139554148269455","77913.8857227468","0.1782108042760015","0.2076494776376663","0.0022144954954694","35529.03559573927","0.2180757757983019","0.0037264917943324"
"La Sierra University","2","6","Selective private","Private","CA","0.5748374988393086","114744.1669207317","0.1118693062744242","0.3200203881064531","0.0154682841151953","52419.90745045732","0.3673598423389134","0.0248173576060763"
"Lake Tahoe Community College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4894331170213199","86911.49272260274","0.1419330575486315","0.2288626700611705","0.0101436264011025","29165.23548916035","0.1319786510057324","0.0035943642644106"
"Las Positas College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4851404220637084","138317.9216983418","0.048723688557536","0.478709079759551","0.0195416219212798","43559.75697280064","0.2945736421812225","0.0097054755618073"
"Lassen College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4326866843384695","75203.63295519406","0.1682085225500418","0.1444232015051237","0.0017877371416142","29902.41728203481","0.1798934931289721","0.0020319816440657"
"""Le Cordon Bleu College Of Culinary Arts of Pasadena, CA""","3","11","Two-year for-profit","NA","CA","0.3806073365332205","98614.81077927216","0.1736722566900615","0.2128722645870477","0.0203626047484606","31692.84782931171","0.1784756634726568","0.0026270522871482"
"Long Beach City College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5199312652770226","64488.08888931161","0.241666677092338","0.1538091408278097","0.0022785990839012","33103.55943694752","0.1893254449991902","0.0024601804330633"
"Los Angeles Community College District","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5303064723234402","62361.81124457981","0.2832242281276967","0.1200683244663713","0.0038187556429955","33390.78676740995","0.175532335895838","0.0029831310317267"
"Los Rios Community College District","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5227382649797587","85024.17192377271","0.1317929806456197","0.2356848188479179","0.0037581241848587","35325.04731750142","0.2070054940367155","0.0030137500518243"
"Loyola Marymount University","2","6","Selective private","Private","CA","0.5869562388483308","314268.5526164698","0.0535991269448127","0.579178242752131","0.086172070376223","66238.50992069594","0.5040469424046054","0.0451716600135143"
"MTI College","3","11","Two-year for-profit","NA","CA","0.6161883107808402","56079.00998544186","0.1645771088927392","0.0913622298563917","0.0041159945276754","31827.19797319738","0.1059614139239999","0.0014337322820618"
"""Marinello School Of Beauty, Xenon International Academy, International School Of Skin And Nailcare And Hair Professionals Academy""","3","12","Less than two-year schools of any type","NA","CA","0.9451799464938068","71783.10046372957","0.2539559380459566","0.1115350084764072","0.0043529686285052","15921.03342937482","0.0278364906774639","0.0000364914155671"
"Marymount California University","2","8","Nonselective four-year private not-for-profit","Private","CA","0.4667370001559267","298825.9512532233","0.1116869244743623","0.4722919680177845","0.1442553069688843","34001.2407544421","0.1959286004493495","0.003259390116897"
"Master's College & Seminary ","2","6","Selective private","Private","CA","0.5540117319214176","142117.1265844384","0.0470926360938701","0.3588547400513371","0.0286783816470138","46047.74650814157","0.3164517490456812","0.0254070805700017"
"Mendocino College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4899742522922294","78956.25671572442","0.2097360020855331","0.1182451702881934","0.0044763597247885","27068.71580950683","0.1124437264846359","0.0034571921994313"
"Merced Community College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5330821827685316","59779.38904228873","0.2399972300505636","0.1076538908509861","0.001963688129198","30197.23811189169","0.151341542302818","0.0025662768684456"
"""Milan Institute of Palm Desert, CA""","3","12","Less than two-year schools of any type","NA","CA","0.9188382433442981","47744.54783188603","0.2697023383518977","0.0674410592851204","0.0022387417040023","15524.98856229851","0.0322084199143043","0.0003610094812331"
"Mills College","2","6","Selective private","Private","CA","1","167050.5976449275","0.1061712203534703","0.3372219202798663","0.0346544977115548","47127.57476222826","0.3128463584378554","0.0178701844710725"
"Miracosta College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5258669703917683","108409.5196049528","0.1338256815418371","0.2673578462497925","0.0136494851003419","34171.06007701946","0.1801508558482303","0.0060175553918991"
"Monterey Peninsula College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5041382034280414","95532.72385137863","0.1424602920970984","0.2236222754552273","0.0092151106808405","34167.75012437991","0.2044681663461012","0.0065020013859685"
"Mount San Antonio College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4893516241544818","76053.56087714592","0.1669712186074485","0.2036785787780125","0.0025062150111054","36643.54247893196","0.2202029727995598","0.0048473161480728"
"Mount St. Mary's College","2","6","Selective private","Private","CA","0.988082181656736","67906.38965282984","0.212396942695358","0.1587709012737795","0.0046410158135533","48089.91409178224","0.3716616109918082","0.0061537322131532"
"Mt. San Jacinto College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5363035068245224","81050.92463203556","0.1271202651741857","0.2122759333706855","0.0029425388196711","31223.54659039408","0.1819449749289598","0.0026960150333193"
"Musicians Institute","3","10","Four-year for-profit","NA","CA","0.1887864792013786","116335.87957967","0.13646385791545","0.3022888247869978","0.0195995380129715","25945.04778912966","0.1352598499798771","0.0037463717220615"
"Napa Valley College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5548973639426313","86412.95091908105","0.0994176704306081","0.2362949801264243","0.0033877576707463","37194.80157618976","0.2259189328454254","0.0040073551918287"
"Occidental College","2","2","Other elite schools (public and private)","Private","CA","0.5831776229958785","254125.550095943","0.0853362252074274","0.5202868079343148","0.0866515971850931","58066.14856085526","0.4279796300659793","0.0399946437956443"
"Ohlone College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4918662954363304","107335.2980943203","0.0712238014862554","0.370187350336749","0.0067943279271567","44142.780249469","0.3113487100405395","0.0103212345603642"
"Otis College Of Art & Design","2","8","Nonselective four-year private not-for-profit","Private","CA","0.7278792171447682","191723.4730691425","0.1067474650317463","0.3418672878776707","0.0452084659899995","55442.95348031126","0.363594516928629","0.0214374737910748"
"Pacific Union College","2","6","Selective private","Private","CA","0.528343386868705","175658.9385613187","0.0615172220232207","0.4223839052209793","0.0188890281823452","57674.84325172578","0.446700225629259","0.0247578241845342"
"Palomar College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4548101153369076","94223.16822081286","0.117576471488784","0.2625619598005952","0.0076196630173303","37108.57361394401","0.2325077583733425","0.0046861430551939"
"Pasadena City College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4969616974963811","68739.4625550419","0.2793771559489261","0.1392335984427935","0.005147734575472","34430.09623903866","0.2010736812573999","0.0047283403375678"
"""Paul Mitchell The School of Costa Mesa, CA""","3","12","Less than two-year schools of any type","NA","CA","0.8900413603337627","131895.1188490072","0.0827800801744164","0.3380228403928672","0.032931054314301","17539.01951594165","0.0689224256863024","0.002636126228402"
"Pepperdine University","2","4","Highly selective private","Private","CA","0.5969522524912966","371031.0396113876","0.0431508185079327","0.5556892476491452","0.1178357197272764","74970.85491757539","0.4922500775765478","0.052035835409599"
"Pitzer College","2","4","Highly selective private","Private","CA","0.6292772334482935","434121.4143880208","0.0624171627962359","0.5899244648338567","0.1364345068318976","51976.01988389757","0.3490678227107096","0.0234601696880045"
"""Platt College of Alhambra, CA""","3","10","Four-year for-profit","NA","CA","0.3746924792045734","61987.96098975753","0.2596440952007602","0.079785329065931","0.006067300819633","28357.83860916597","0.1501786375466216","0.0005135585469601"
"Point Loma Nazarene University","2","6","Selective private","Private","CA","0.5977675947240024","168316.8486918605","0.0330314938676177","0.4980203942174189","0.0397168611915801","51744.29554869186","0.3920580346638342","0.0236980156389453"
"Pomona College","2","2","Other elite schools (public and private)","Private","CA","0.4960875009801845","324439.5015794224","0.0368104872714839","0.6812058885702657","0.1239780791050045","90406.20436597473","0.5563488388331068","0.1056321928542541"
"Rancho Santiago Community College District","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4686312822999321","86310.7622339986","0.1597263907775699","0.2281743819093219","0.0080312984759157","41066.00839832275","0.2302626041870756","0.0052078926035596"
"Rio Hondo Community College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4714074112455633","57731.04764934075","0.2268942109379942","0.1015656403803435","0.0011222608579411","35389.45940398511","0.1986066537979854","0.0033099970257588"
